localidade,serie,nome,id,populacao,latitude,longitude
"{'id': '4124509', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santo Inácio - PR'}",{'2021': '5422'},Santo Inácio - PR,4124509,5422,-22.718736077470304,-51.801955650417675
"{'id': '4124608', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São Carlos do Ivaí - PR'}",{'2021': '6961'},São Carlos do Ivaí - PR,4124608,6961,-23.342174250202586,-52.480459397069154
"{'id': '4124707', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São Jerônimo da Serra - PR'}",{'2021': '11088'},São Jerônimo da Serra - PR,4124707,11088,-23.71624324387264,-50.77841109878241
"{'id': '4124806', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São João - PR'}",{'2021': '10122'},São João - PR,4124806,10122,-25.77404495827888,-52.79305418979088
"{'id': '4124905', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São João do Caiuá - PR'}",{'2021': '5819'},São João do Caiuá - PR,4124905,5819,-22.838219547336006,-52.33070048597232
"{'id': '4125001', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São João do Ivaí - PR'}",{'2021': '9897'},São João do Ivaí - PR,4125001,9897,-23.992635489766293,-51.84808227438344
"{'id': '4125100', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São João do Triunfo - PR'}",{'2021': '15359'},São João do Triunfo - PR,4125100,15359,-25.66999379526845,-50.286717660622415
"{'id': '4125209', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': ""São Jorge d'Oeste - PR""}",{'2021': '9005'},São Jorge d'Oeste - PR,4125209,9005,-25.655898237356467,-52.94005417099166
"{'id': '4125308', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São Jorge do Ivaí - PR'}",{'2021': '5535'},São Jorge do Ivaí - PR,4125308,5535,-23.43503066697995,-52.31691534439636
"{'id': '4125357', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'São Jorge do Patrocínio - PR'}",{'2021': '5532'},São Jorge do Patrocínio - PR,4125357,5532,-23.738856228304858,-53.946960206461526
